geometry,panel_a_in,panel_b_in,source_dataset,case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_054,-17.0,-44.0,5905.0899975511975,3,0.5416666666666666,0.06333333333333334,0.395,0.5416666666666666,high,data/New_data/8x8_Case2/csv/force_disp_Test_054.csv,data/New_data/8x8_Case2/Ori/plot_Test_054_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_055,44.0,-49.0,7440.495367717857,2,0.45666666666666667,0.435,0.45666666666666667,0.10833333333333334,high,data/New_data/8x8_Case2/csv/force_disp_Test_055.csv,data/New_data/8x8_Case2/Ori/plot_Test_055_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_056,67.0,-19.0,5133.812984365671,2,0.6633333333333333,0.07666666666666666,0.6633333333333333,0.26,high,data/New_data/8x8_Case2/csv/force_disp_Test_056.csv,data/New_data/8x8_Case2/Ori/plot_Test_056_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_057,2.0,74.0,4350.277696932785,2,0.47,0.09166666666666666,0.47,0.43833333333333335,high,data/New_data/8x8_Case2/csv/force_disp_Test_057.csv,data/New_data/8x8_Case2/Ori/plot_Test_057_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_058,82.0,19.0,4487.650842235879,2,0.6566666666666666,0.10333333333333333,0.6566666666666666,0.24,high,data/New_data/8x8_Case2/csv/force_disp_Test_058.csv,data/New_data/8x8_Case2/Ori/plot_Test_058_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_059,14.0,3.0,4906.824952087089,3,0.89,0.005,0.105,0.89,low,data/New_data/8x8_Case2/csv/force_disp_Test_059.csv,data/New_data/8x8_Case2/Ori/plot_Test_059_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_060,44.0,-84.0,5283.659746593987,2,0.5416666666666666,0.37,0.5416666666666666,0.08833333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_060.csv,data/New_data/8x8_Case2/Ori/plot_Test_060_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_061,0.0,-52.0,5259.973044863009,2,0.4866666666666667,0.03666666666666667,0.4866666666666667,0.4766666666666667,high,data/New_data/8x8_Case2/csv/force_disp_Test_061.csv,data/New_data/8x8_Case2/Ori/plot_Test_061_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_062,33.0,26.0,6532.661567326767,3,0.6233333333333333,0.1,0.27666666666666667,0.6233333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_062.csv,data/New_data/8x8_Case2/Ori/plot_Test_062_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_063,-75.0,38.0,5537.1589121300185,2,0.6783333333333333,0.21666666666666667,0.6783333333333333,0.105,high,data/New_data/8x8_Case2/csv/force_disp_Test_063.csv,data/New_data/8x8_Case2/Ori/plot_Test_063_original.png
