case,test_id,label,theta1,theta2,pt,n_points,transition_index,transition_x_ratio,transition_load_ratio,post_points,post_fraction,pre_slope,post_slope_full,post_slope_early,post_slope_tail,post_slope_ratio,post_slope_drop,post_r2,post_nrmse,tail_r2,quad_a,abs_quad_a,slope_drift,mean_abs_curvature,max_abs_curvature,data_quality_code
Case3,Test_063,2,38.0,69.0,14003.8210263,1001,335,0.335,0.5554656937816101,646,0.6453546453546454,292487.4629167132,108562.75695464961,137025.32421373736,94314.41392734392,0.68829914812118,0.31170085187882,0.9967229940109805,0.01624199161267588,0.9999570188201271,-0.21212150682362227,0.21212150682362227,0.3857992900968535,0.6083973255137259,3.008937970905208,0
Case3,Test_064,2,-65.0,32.0,13414.8932304,1001,248,0.248,0.4661828719870521,733,0.7322677322677322,380578.7457698432,131289.42692881415,169002.39365577334,111292.6430998819,0.6585270225613754,0.3414729774386246,0.995930792836537,0.018078714223623234,0.9999321934519927,-0.23712961493529985,0.23712961493529985,0.4307199248574044,0.7122675900249421,4.365290772042499,0
Case3,Test_065,2,-32.0,-36.0,13023.7883099,1001,244,0.244,0.4935088794067503,737,0.7362637362637363,369896.1090187815,113401.46313259733,147784.04030315563,94926.79568956782,0.6423345544947917,0.35766544550520823,0.9953462754506404,0.019330581969457486,0.9999183693136313,-0.2537423781620336,0.2537423781620336,0.4564396949056077,0.7357617352904756,4.966321235784108,0
Case3,Test_066,2,-17.0,82.0,11521.5885181,1001,115,0.115,0.29753722130476457,866,0.8651348651348651,723518.5593941165,196922.32458312204,267881.17424929485,151175.66288894284,0.5643385105825173,0.43566148941748273,0.9916420893667413,0.025972429775648738,0.9998117533100652,-0.3446724883448869,0.3446724883448869,0.58132984411825,0.9306871170670418,8.16637277951213,0
Case3,Test_067,1,-61.0,78.0,9145.10917239,1001,538,0.538,0.7470685849497748,443,0.44255744255744256,117180.26072332857,43651.32807766063,48404.28816041651,41483.350840746425,0.8570180952412021,0.14298190475879793,0.9995163612070279,0.006301800656061091,0.9999942904689951,-0.08144993760402756,0.08144993760402756,0.15704706216104952,0.29584189696180596,2.3990000868532775,0
Case3,Test_068,1,45.0,-66.0,14878.3557705,1001,557,0.557,0.7302679100451067,424,0.42357642357642356,185930.88116114316,80283.77181540323,97214.79434358948,71305.65737862156,0.7334856578166858,0.2665143421833142,0.9975979411068397,0.013993298880028739,0.9999764213178319,-0.18332855301095954,0.18332855301095954,0.31787766443132487,0.4361893310314678,1.2227199698834283,0
Case3,Test_069,2,33.0,-41.0,13575.4208724,1001,308,0.308,0.551205457244834,673,0.6723276723276723,308811.07286630437,102105.86723275477,132387.91279622848,87777.54567062197,0.6630329296431253,0.3369670703568747,0.996092425486923,0.017668377626078216,0.9999496011465296,-0.2296922407277983,0.2296922407277983,0.42687482275927763,0.7019471015257309,4.1628574876832545,0
Case3,Test_070,1,48.0,85.0,11487.9728116,1001,392,0.392,0.646757368653758,589,0.5884115884115884,205911.7254832355,67701.85265420555,74854.42839280838,62794.17009090956,0.8388838367903761,0.16111616320962385,0.9992769410070897,0.007730711262086727,0.9999829408424473,-0.10268754573549262,0.10268754573549262,0.17710220889509967,0.31644029492454356,3.1741175791366913,0
Case3,Test_071,1,82.0,86.0,5101.55234728,1001,353,0.353,0.591715953320425,628,0.6273726273726273,98266.88093890443,35870.15926365971,38092.567837323164,34295.89627927983,0.9003303853324545,0.09966961466754552,0.9997489924932739,0.004565569589305116,0.9999931139345964,-0.06070480565573259,0.06070480565573259,0.10547136934790623,0.1961059807516405,2.4840853680893815,0
Case3,Test_072,2,-21.0,38.0,11165.2966163,1001,127,0.127,0.3333665744083214,854,0.8531468531468531,627253.1065555437,162341.40970137058,229726.8508554836,124004.00401994871,0.5397888995481729,0.46021110045182717,0.9905001476967606,0.027510850428820115,0.9998106587455018,-0.36271950848710793,0.36271950848710793,0.6342334089060748,1.0097292629474133,7.937925558173561,0
